Rk,Player,age,proPic,WS,salary,projSalary
344,Théo Maledon\maledth01,20,,0.3,$2130240,$3845083
345,Sandro Mamukelashvili\mamuksa01,22,,1.1,$2096880,$2201400
346,Terance Mann\mannte01,25,,5.5,$2089448,
347,Tre Mann\manntr01,20,,0.1,$2089448,
348,Boban Marjanović\marjabo01,33,,0.1,$2089448,
349,Lauri Markkanen\markkla01,24,,5,$2075880,$2174880
350,Naji Marshall\marshna01,24,,0.8,$2063280,$2161440
351,Caleb Martin\martica02,26,,4,$2048040,$2145720
352,Cody Martin\martico01,26,,3.9,$2036280,$2138160
353,Kelan Martin\martike03,26,,0,$2033160,$2130240
354,Kenyon Martin Jr.\martike04,21,,2.9,$2023800,$2125200
355,Garrison Mathews\mathega01,25,,2.8,$2009040,$2109360
356,Dakota Mathias\mathida01,26,,0,$2000000,$2000000
357,Wesley Matthews\matthwe02,35,,1.2,$2000000,$2000000
358,Tyrese Maxey\maxeyty01,21,,7.3,$2000000,
359,Skylar Mays\mayssk01,24,,0.3,$2000000,$1900000
360,Miles McBride\mcbrimi01,21,,0.2,$2000000,$2000000
361,Mac McClung\mccluma01,23,,0,$1994520,$2094240
362,CJ McCollum\mccolcj01,30,,3.6,$1977011,
363,T.J. McConnell\mccontj01,29,,1.3,$1958501,
364,Jaden McDaniels\mcdanja02,21,,2.4,$1939350,
365,Jalen McDaniels\mcdanja01,24,,1.7,$2541217,
366,Doug McDermott\mcderdo01,30,,1.6,$1939350,
367,JaVale McGee\mcgeeja01,34,,4.9,$1939350,
368,Cameron McGriff\mcgrica01,24,,0.1,$1910860,
369,Rodney McGruder\mcgruro01,30,,1.2,$1910860,
370,Alfonzo McKinnie\mckinal01,29,,-0.1,$1865547,
371,JaQuori McLaughlin\mclauja01,24,,0,$1846738,$1997718
372,Jordan McLaughlin\mclaujo01,25,,2.3,$1802057,
373,Ben McLemore\mclembe01,28,,0.8,$1802057,
374,De'Anthony Melton\meltode01,23,,3.7,$1789256,
375,Sam Merrill\merrisa01,25,,0,$1789256,
376,Chimezie Metu\metuch01,24,,1.5,$1789256,
377,Khris Middleton\middlkh01,30,,5.3,$1789256,$2036318
378,C.J. Miles\milescj01,34,,0,$1789256,$2036318
