Rk,MP,FT,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
112,37,0,0,4,2,1,0,1,5,4
113,2058,129,47,170,385,96,21,123,142,986
114,1691,45,45,228,82,59,15,35,86,645
115,200,21,16,37,3,4,4,7,28,67
116,39,0,0,5,5,0,0,5,1,7
117,38,3,7,7,3,1,1,4,7,14
118,718,95,74,196,71,35,21,85,139,430
119,1940,58,59,332,92,103,91,75,190,604
120,1596,39,86,224,91,46,36,67,151,516
121,1886,71,30,324,124,95,30,55,173,632
122,338,16,13,35,33,20,5,20,42,130
123,12,0,1,2,1,0,0,0,2,2
124,2088,142,58,296,356,78,43,234,200,1114
125,2135,82,21,179,230,53,14,109,148,960
126,2211,275,34,301,404,85,23,206,130,1630
127,1404,174,106,288,122,49,90,82,97,927
128,201,6,14,50,7,3,9,5,33,28
129,536,36,11,83,40,25,11,33,70,311
130,56,0,1,5,5,1,0,2,2,18
131,1065,75,105,281,47,24,42,70,174,422
132,1,0,0,0,0,0,0,0,0,0
133,3,0,0,1,0,1,0,0,1,0
134,2743,520,56,336,374,68,24,181,178,2118
135,188,6,17,42,2,5,9,7,33,56
136,31,5,4,8,0,1,0,1,6,11
137,1269,91,69,208,73,71,17,58,143,636
138,371,19,32,89,34,11,13,20,52,154
139,1980,195,45,234,346,44,13,104,150,919
140,1006,70,40,130,118,48,8,72,69,380
141,2301,364,56,537,568,75,36,292,145,1847
142,1665,161,38,174,88,46,18,88,149,877
143,2110,53,27,187,256,60,29,108,182,679
144,21,0,0,2,1,0,0,0,0,4
145,85,5,1,8,15,1,0,5,11,29
146,16,3,2,4,0,3,2,2,1,14
147,108,2,8,10,10,5,1,5,5,19
148,340,10,14,49,29,11,6,13,33,97
149,498,27,13,52,86,19,4,34,45,157
150,1437,86,229,451,131,78,68,115,192,580
151,1541,90,41,185,114,56,10,90,95,720
152,341,17,30,37,17,14,7,9,36,104
153,336,17,9,40,79,23,3,32,38,106
154,2047,372,29,378,351,48,52,191,113,1643
155,3,0,0,0,0,0,0,0,0,0
156,2466,220,62,281,275,105,46,190,164,1533
157,79,1,2,4,14,2,0,5,4,23
158,987,16,44,128,31,29,24,42,85,284
159,11,0,0,3,0,0,0,1,0,3
160,1174,60,66,161,87,35,19,56,116,339
161,810,9,10,67,30,23,5,19,42,287
162,2297,654,146,650,284,77,99,214,181,2079
163,56,4,5,7,3,2,2,2,5,29
164,1245,99,130,252,85,31,40,81,122,546
165,59,2,7,16,2,0,6,3,3,12
166,653,16,58,126,25,17,12,9,62,206
167,152,15,18,37,7,1,11,14,24,88
168,2644,56,122,253,150,88,39,80,183,880
169,63,0,2,15,5,0,0,2,4,21
170,537,15,10,53,70,20,4,13,45,189
171,1286,79,10,83,75,25,5,56,95,663
172,74,0,2,13,2,1,0,4,7,14
173,765,38,23,76,106,30,6,48,43,195
174,2358,80,34,176,171,79,20,105,180,1125
175,2083,261,25,206,330,68,25,168,172,1367
176,120,5,5,8,1,1,0,3,8,32
177,208,5,5,14,34,3,1,15,27,39
178,411,24,61,99,8,5,14,20,42,128
179,360,25,4,45,99,20,5,40,22,195
180,358,25,39,58,14,5,11,16,68,141
181,1444,107,155,252,68,30,99,65,170,677
182,1672,141,35,273,101,28,12,38,93,771
