Rk,Player,age,WS,salary,projSalary,playerTeam
249,Scotty Hopson,32,0,3940184.00,,Oklahoma City Thunder
250,Al Horford,35,7.6,3938818.00,,Boston Celtics
251,Talen Horton-Tucker,21,1.1,3902439.00,4097561.00,Los Angeles Lakers
252,Danuel House Jr.,28,1,3822240.00,4004280.00,TOT
253,Dwight Howard,36,3.5,3804360.00,5634257.00,Los Angeles Lakers
254,Markus Howard,22,0.3,3804150.00,,Denver Nuggets
255,Kevin Huerter,23,2.8,3768342.00,9598214.00,Atlanta Hawks
256,Jay Huff,23,0,3749520.00,3936960.00,Los Angeles Lakers
257,Elijah Hughes,23,-0.4,3731707.00,3918293.00,TOT
258,Feron Hunt,22,0,3661976.00,10700000.00,New York Knicks
259,De'Andre Hunter,24,1.1,4107149.00,3925000.00,Atlanta Hawks
260,Chandler Hutchison,25,0,3631200.00,3804360.00,Phoenix Suns
261,Bones Hyland,21,2.4,3562080.00,3740160.00,Denver Nuggets
262,Serge Ibaka,32,2,3500000.00,3500000.00,TOT
263,Andre Iguodala,38,1.6,3500000.00,3500000.00,Golden State Warriors
264,Joe Ingles,34,2.2,3449400.00,3613680.00,Utah Jazz
265,Brandon Ingram,24,3.9,3383640.00,3552960.00,New Orleans Pelicans
266,Kyrie Irving,29,3.3,3333333.00,3492063.00,Brooklyn Nets
267,Wes Iwundu,27,0.1,3300000.00,3465000.00,Atlanta Hawks
268,Frank Jackson,23,0.7,3277080.00,3433320.00,Detroit Pistons
269,Isaiah Jackson,20,1.4,3277080.00,3433320.00,Indiana Pacers
270,Jaren Jackson Jr.,22,5.4,3261480.00,5009633.00,Memphis Grizzlies
271,Josh Jackson,24,0,3214680.00,3375480.00,TOT
272,Justin Jackson,26,0,12213507.00,12372008.00,TOT
273,Reggie Jackson,31,0.4,3169347.00,,Los Angeles Clippers
274,LeBron James,37,7.5,3113160.00,3261480.00,Los Angeles Lakers
275,DeJon Jarreau,24,0,3098400.00,4765339.00,Indiana Pacers
